Id,MSSubClass,MSZoning,LotFrontage,LotArea,Utilities,Neighborhood,Condition2,BldgType,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,RoofStyle,Foundation,BsmtExposure,Electrical,BsmtFullBath,BsmtHalfBath,BedroomAbvGr,KitchenQual,Functional,Fireplaces,GarageType,GarageCars,GarageArea,PavedDrive,PoolArea,Fence,YrSold,SalePrice
67,60,RL,88.0,9689,AllPub,NWAmes,Norm,1Fam,2Story,7,1974,1974,Gable,CBlock,No,SBrkr,0.0,1.0,4,TA,Typ,1,Attchd,2.0,525.0,Y,0,,2009,199430.9475723991
68,190,RL,102.0,22225,AllPub,OldTown,Norm,2fmCon,1.5Fin,5,1925,1975,Gable,CBlock,Mn,SBrkr,2.0,0.0,5,TA,Maj1,1,Attchd,3.0,1035.0,N,0,,2006,200657.2445825057
69,50,RL,58.0,7589,AllPub,NAmes,Norm,1Fam,1.5Fin,6,1947,1950,Gable,CBlock,No,FuseA,0.0,0.0,3,TA,Typ,0,Detchd,2.0,676.0,Y,0,,2006,133807.39358542618
70,20,RL,68.0,11039,AllPub,NAmes,Norm,1Fam,1Story,6,1952,1952,Hip,CBlock,No,SBrkr,0.0,0.0,2,TA,Typ,0,Detchd,2.0,437.0,N,0,,2007,125471.13371056088
71,20,RL,88.0,9689,AllPub,NAmes,Norm,1Fam,1Story,6,1953,1953,Hip,CBlock,No,SBrkr,1.0,0.0,3,TA,Typ,2,Attchd,2.0,445.0,Y,0,,2009,167367.1169384218
72,120,FV,33.0,4924,AllPub,Somerst,Norm,TwnhsE,1Story,7,2004,2005,Gable,PConc,Av,SBrkr,1.0,0.0,2,Gd,Typ,1,Attchd,2.0,533.0,Y,0,,2010,230227.9707313256
73,20,RL,98.0,11816,AllPub,NAmes,Norm,1Fam,1Story,7,1969,1969,Gable,CBlock,Mn,SBrkr,0.0,0.0,3,TA,Typ,1,Attchd,2.0,533.0,Y,0,,2006,197812.49974148325
74,20,RL,,8428,AllPub,NAmes,Norm,1Fam,1Story,5,1959,1959,Gable,Slab,,SBrkr,0.0,0.0,3,TA,Typ,0,Attchd,1.0,321.0,Y,0,MnPrv,2007,106630.71282049635
75,30,RL,58.0,5309,AllPub,SWISU,Norm,1Fam,1Story,5,1936,1950,Gable,BrkTil,No,SBrkr,0.0,0.0,2,TA,Typ,0,Detchd,1.0,207.0,P,0,,2006,79085.64984087776
76,80,RL,108.0,14419,AllPub,Veenker,Norm,1Fam,SLvl,7,1974,1974,Gable,CBlock,Gd,SBrkr,1.0,2.0,3,Gd,Mod,4,Attchd,2.0,577.0,Y,800,GdPrv,2006,246975.75412987333
77,60,RL,115.0,13980,AllPub,NridgHt,Norm,1Fam,2Story,9,2008,2009,Hip,PConc,Gd,SBrkr,0.0,0.0,4,Ex,Typ,1,BuiltIn,3.0,1047.0,Y,0,,2009,582964.6761098871
78,20,RL,71.0,7589,AllPub,SawyerW,Norm,1Fam,1Story,7,2006,2006,Gable,PConc,No,SBrkr,0.0,0.0,3,Gd,Typ,0,,0.0,27.0,Y,0,,2007,143471.13102521168
79,30,RL,68.0,10889,AllPub,OldTown,Norm,1Fam,1Story,5,1920,1950,Gable,BrkTil,No,SBrkr,0.0,0.0,2,Gd,Typ,0,Detchd,2.0,603.0,N,0,,2009,98789.17953772313
80,20,RL,115.0,13980,AllPub,NridgHt,Norm,1Fam,1Story,9,2007,2007,Hip,PConc,Gd,SBrkr,1.0,0.0,3,Ex,Typ,2,Attchd,3.0,959.0,Y,0,,2007,417460.099502539
81,60,RL,,10363,AllPub,SawyerW,Norm,1Fam,2Story,6,1986,1986,Gable,CBlock,No,SBrkr,0.0,0.0,3,TA,Typ,0,Attchd,2.0,492.0,Y,0,,2009,165350.19017456798
82,80,RL,84.0,9969,AllPub,Mitchel,Norm,1Fam,SLvl,6,1977,1977,Gable,CBlock,Av,SBrkr,1.0,0.0,3,TA,Typ,1,Attchd,1.0,385.0,Y,576,GdPrv,2008,171243.85003801002
83,120,RL,51.0,3292,AllPub,Blmngtn,Norm,TwnhsE,1Story,7,2006,2006,Gable,PConc,Av,SBrkr,0.0,0.0,2,Gd,Typ,0,Attchd,2.0,464.0,Y,0,,2010,163313.48276220151
84,160,RM,32.0,2611,AllPub,Edwards,Norm,Twnhs,2Story,7,2004,2004,Gable,PConc,No,SBrkr,0.0,0.0,3,Gd,Maj1,0,Detchd,2.0,407.0,Y,0,,2006,137535.12980847742
85,30,RL,75.0,8866,AllPub,Edwards,Norm,1Fam,1Story,5,1910,1950,Gable,CBlock,No,FuseA,0.0,0.0,2,TA,Typ,0,,0.0,27.0,P,0,MnPrv,2008,85000.88720974057
86,50,RL,,15749,AllPub,Crawfor,Norm,1Fam,1.5Fin,7,1939,2006,Gable,CBlock,No,SBrkr,0.0,1.0,3,Gd,Typ,2,Attchd,2.0,458.0,Y,0,,2008,311506.5770761429
87,60,RL,,8747,AllPub,Gilbert,Norm,1Fam,2Story,6,2000,2000,Gable,PConc,No,SBrkr,0.0,0.0,3,TA,Typ,1,Attchd,2.0,458.0,Y,0,,2006,196660.09858992175
88,20,RL,98.0,10857,AllPub,Veenker,Norm,1Fam,1Story,5,1976,2004,Gable,CBlock,Gd,SBrkr,1.0,0.0,3,Gd,Typ,1,Attchd,2.0,555.0,Y,0,,2007,218111.08519093145
89,60,FV,74.0,7488,AllPub,Somerst,Norm,1Fam,2Story,7,1997,1998,Hip,PConc,No,SBrkr,0.0,0.0,3,Gd,Typ,1,Detchd,2.0,603.0,Y,0,,2007,239292.19069637696
90,160,RM,29.0,2042,AllPub,BrDale,Norm,Twnhs,2Story,6,1973,1973,Gable,CBlock,No,SBrkr,0.0,0.0,2,TA,Typ,0,Detchd,1.0,291.0,Y,0,,2006,83018.31654925595
91,60,RL,88.0,9113,AllPub,Gilbert,Norm,1Fam,2Story,6,2004,2004,Gable,PConc,No,SBrkr,0.0,0.0,3,Gd,Typ,1,Attchd,2.0,420.0,Y,0,,2008,172327.54464127118
92,80,RL,,8839,AllPub,Mitchel,Norm,1Fam,SLvl,7,1975,1975,Gable,CBlock,Av,SBrkr,0.0,1.0,3,TA,Typ,0,Attchd,1.0,387.0,Y,0,,2007,144162.08413058627
93,80,RL,86.0,11768,AllPub,Edwards,Norm,1Fam,SLvl,5,1962,1962,Gable,CBlock,Gd,SBrkr,0.0,1.0,3,TA,Min2,1,Attchd,2.0,555.0,Y,0,MnPrv,2006,180064.27485165768
94,20,RL,113.0,11338,AllPub,CollgCr,Norm,1Fam,1Story,6,1995,1995,Gable,PConc,No,SBrkr,1.0,0.0,3,Gd,Typ,0,Attchd,2.0,548.0,Y,0,,2007,177552.30511311255
95,20,RL,118.0,15363,AllPub,NridgHt,Norm,1Fam,1Story,9,2003,2003,Hip,PConc,No,SBrkr,2.0,0.0,3,Ex,Typ,1,Attchd,3.0,913.0,Y,0,MnPrv,2009,407050.16339545965
96,60,RL,,9542,AllPub,SawyerW,Norm,1Fam,2Story,7,1993,2003,Gable,PConc,No,SBrkr,0.0,0.0,3,Gd,Typ,0,Attchd,2.0,484.0,Y,0,,2010,194632.6633140263
97,80,RL,80.0,7289,AllPub,Edwards,Norm,1Fam,SLvl,6,1976,1976,Hip,CBlock,Av,SBrkr,1.0,0.0,3,TA,Typ,1,Detchd,1.0,379.0,Y,0,GdWo,2009,125058.75086117904
98,80,RL,88.0,8089,AllPub,NAmes,Norm,1Fam,SLvl,5,1959,1959,Gable,CBlock,Av,SBrkr,1.0,0.0,3,TA,Typ,0,Attchd,1.0,315.0,Y,0,GdWo,2009,129580.14951446957
99,120,RL,56.0,6329,AllPub,NridgHt,Norm,TwnhsE,1Story,8,2006,2006,Hip,PConc,No,SBrkr,1.0,0.0,2,Gd,Typ,1,Attchd,2.0,577.0,Y,0,,2009,254079.96479042308
100,20,RL,86.0,11734,AllPub,CollgCr,Norm,1Fam,1Story,7,2005,2005,Gable,PConc,Av,SBrkr,1.0,0.0,3,Gd,Typ,0,Attchd,2.0,687.0,Y,0,,2006,260039.99980815378
101,30,RL,68.0,8639,AllPub,NAmes,Norm,1Fam,1Story,6,1934,1950,Gable,CBlock,No,SBrkr,1.0,0.0,2,TA,Typ,1,Attchd,1.0,267.0,Y,0,MnPrv,2006,127308.26569403832
102,120,RL,56.0,6000,AllPub,NridgHt,Norm,TwnhsE,1Story,9,2005,2005,Hip,PConc,No,SBrkr,1.0,0.0,2,Ex,Typ,1,Attchd,2.0,583.0,Y,0,,2006,269524.73040057294
103,30,RL,48.0,4369,AllPub,Crawfor,Norm,1Fam,1Story,5,1913,2002,Gable,PConc,No,SBrkr,0.0,0.0,2,Gd,Typ,1,Detchd,1.0,379.0,P,0,MnPrv,2007,90510.20063726242
104,120,RL,56.0,3331,AllPub,NridgHt,Norm,TwnhsE,1Story,7,2003,2003,Gable,PConc,No,SBrkr,1.0,0.0,2,Gd,Typ,1,Attchd,2.0,505.0,Y,0,,2007,208341.97468937526
105,20,FV,80.0,8729,AllPub,Somerst,Norm,1Fam,1Story,7,2007,2008,Gable,PConc,No,SBrkr,0.0,0.0,3,Gd,Typ,0,Attchd,2.0,556.0,Y,0,,2008,250701.42996005653
106,50,RL,68.0,7289,AllPub,SWISU,Norm,1Fam,1.5Fin,5,1937,1950,Gable,BrkTil,No,SBrkr,1.0,0.0,3,Gd,Typ,2,Detchd,1.0,267.0,Y,0,MnPrv,2007,175069.2452113944
107,60,RL,103.0,13539,AllPub,CollgCr,Norm,1Fam,2Story,7,2002,2002,Gable,PConc,No,SBrkr,1.0,0.0,3,Gd,Typ,0,BuiltIn,2.0,519.0,Y,0,,2006,200192.12906195555
108,20,RL,65.0,7766,AllPub,NAmes,Norm,1Fam,1Story,5,1953,1953,Gable,CBlock,No,SBrkr,0.0,0.0,2,TA,Typ,0,Attchd,1.0,267.0,Y,0,,2008,110206.77104728264
109,20,RL,,10457,AllPub,NAmes,Norm,1Fam,1Story,6,1964,1964,Hip,CBlock,No,SBrkr,1.0,0.0,3,TA,Typ,1,Attchd,2.0,457.0,Y,0,,2006,183018.11932056939
110,120,RL,58.0,7264,AllPub,SawyerW,Norm,TwnhsE,1Story,6,1984,1984,Gable,CBlock,No,SBrkr,1.0,0.0,2,TA,Typ,0,Attchd,1.0,291.0,Y,0,MnPrv,2010,125243.99018032642
111,120,RL,42.0,5470,AllPub,NridgHt,Norm,Twnhs,1Story,6,2005,2005,Gable,PConc,Av,SBrkr,1.0,0.0,1,Gd,Typ,1,Attchd,2.0,651.0,Y,0,,2009,196054.17929903005
112,60,RL,73.0,7889,AllPub,SawyerW,Norm,1Fam,2Story,7,2005,2005,Gable,PConc,No,SBrkr,0.0,0.0,3,Gd,Typ,0,Attchd,2.0,489.0,Y,0,,2006,189292.85363263916
113,60,RL,,11339,AllPub,CollgCr,Norm,1Fam,2Story,7,2001,2001,Gable,PConc,No,SBrkr,0.0,0.0,3,Gd,Typ,0,Attchd,2.0,635.0,Y,0,,2009,205286.1017300293
114,20,RL,73.0,8539,AllPub,SawyerW,Norm,1Fam,1Story,7,2000,2001,Gable,PConc,No,SBrkr,0.0,0.0,3,TA,Typ,0,Attchd,2.0,566.0,Y,0,GdPrv,2007,179214.28857120028
115,70,RL,77.0,4988,AllPub,SWISU,Norm,1Fam,2Story,6,1920,1950,Gable,PConc,No,SBrkr,0.0,0.0,3,TA,Typ,0,Detchd,1.0,243.0,Y,0,,2006,141555.62676872438
116,60,RL,112.0,21624,AllPub,NoRidge,Norm,1Fam,2Story,10,1994,1995,Gable,PConc,Gd,SBrkr,0.0,1.0,4,Ex,Typ,2,Attchd,3.0,859.0,Y,0,,2007,755318.2522038195
117,20,RL,,47369,AllPub,Gilbert,Norm,1Fam,1Story,6,1950,1950,Hip,CBlock,No,SBrkr,0.0,0.0,3,TA,Typ,1,Attchd,2.0,765.0,Y,0,,2008,174107.2763800071
118,50,RL,59.0,4801,AllPub,BrkSide,Norm,1Fam,1.5Fin,4,1946,1950,Gable,CBlock,No,SBrkr,1.0,0.0,3,TA,Typ,0,Detchd,1.0,332.0,Y,0,MnPrv,2006,121606.20954088334
119,60,RL,84.0,10231,AllPub,SawyerW,Norm,1Fam,2Story,7,2004,2004,Gable,PConc,No,SBrkr,1.0,0.0,4,Gd,Typ,0,BuiltIn,2.0,645.0,Y,0,,2010,233386.8555496653
